the_geom,School_ID,Short_Name,Address,Grade_Cat,Lat,Long
POINT (-87.73045044341183 41.8081998068592),400080,ACERO - TORRES,4248 W 47TH ST,ES,41.80819981,-87.73045044
POINT (-87.66794916954747 41.859504008313834),400081,ACERO - DE LAS CASAS,1641 W 16TH ST,ES,41.85950401,-87.66794917
POINT (-87.6995936514386 41.93747577593605),400082,ACERO - FUENTES,2845 W BARRY AVE,ES,41.93747578,-87.69959365
POINT (-87.69255089866293 41.850035413107854),400083,ACERO - PAZ,2651 W 23RD ST,ES,41.85003541,-87.6925509
POINT (-87.69386163538265 41.79993018672851),400084,ACERO - TAMAYO,5135 S CALIFORNIA AVE,ES,41.79993019,-87.69386164
POINT (-87.73046684944862 41.80917079003119),400085,ACERO - GARCIA HS,4248 W 47TH ST,HS,41.80917079,-87.73046685
POINT (-87.69739409699156 41.80830882463016),400089,ACERO - MARQUEZ,2916 W 47TH ST,ES,41.80830882,-87.6973941
POINT (-87.65909480291796 41.86330140903649),400091,CHICAGO TECH HS,1301 W 14TH ST,HS,41.86330141,-87.6590948
POINT (-87.60503910190101 41.65366345018884),400092,CICS - BOND,13300 S LANGLEY AVE,ES,41.65366345,-87.6050391
POINT (-87.55022236949598 41.7448491063859),400094,EPIC HS,8255 S HOUSTON AVE,HS,41.74484911,-87.55022237
POINT (-87.66407246852494 41.90779717907945),400096,ROWE,1424 N CLEAVER ST,ES,41.90779718,-87.66407247
POINT (-87.67819525963051 41.878808808762294),400097,NOBLE - BULLS HS,2040 W ADAMS ST,HS,41.87880881,-87.67819526
POINT (-87.62633828219083 41.88274025791717),400098,NOBLE - MUCHIN HS,1 N STATE ST,HS,41.88274026,-87.62633828
POINT (-87.69399616197569 41.82288374127694),400101,ACERO - CISNEROS,2744 W PERSHING RD,ES,41.82288374,-87.69399616
POINT (-87.6872401588187 41.8459665885093),400104,INSTITUTO - HEALTH,2520 S WESTERN AVE,HS,41.84596659,-87.68724016
POINT (-87.63511669834385 41.77836949913844),400106,NOBLE - JOHNSON HS,6350 S STEWART AVE,HS,41.7783695,-87.6351167
POINT (-87.54557989281052 41.73333313363126),400107,LEARN - SOUTH CHICAGO,8914 S BUFFALO AVE,ES,41.73333313,-87.54557989
POINT (-87.66572105551435 41.74312177077591),400111,LEARN - PERKINS,1700 W 83RD ST,ES,41.74312177,-87.66572106
POINT (-87.70879678420529 41.80104241416496),400112,ACERO - IDAR,5050 S HOMAN AVE,ES,41.80104241,-87.70879678
POINT (-87.68989562475369 41.90034363524046),400114,ACERO - SANTIAGO,2510 W CORTEZ ST,ES,41.90034364,-87.68989562
POINT (-87.69307532262096 41.77099171900687),400115,CATALYST - MARIA ES,6727 S CALIFORNIA AVE,ES,41.77099955,-87.69308108
POINT (-87.66763900841296 41.767390113193215),400116,MONTESSORI ENGLEWOOD,6936 S HERMITAGE AVE,ES,41.76739011,-87.66763901
POINT (-87.6509867278126 41.73444162333336),400117,NOBLE - HANSBERRY HS,8748 S ABERDEEN ST,HS,41.73444162,-87.65098673
POINT (-87.7116542258578 41.86932807727719),400118,NOBLE - DRW HS,931 S HOMAN AVE,HS,41.86932808,-87.71165423
POINT (-87.7337783830973 41.88173275921721),400119,LEGAL PREP HS,4319 W WASHINGTON BLVD,HS,41.88173276,-87.73377838
POINT (-87.78783043795276 41.91795167982529),400120,ACERO - CLEMENTE,2050 N NATCHEZ AVE,ES,41.91795168,-87.78783044
POINT (-87.6844056815304 42.01647588249589),400121,ACERO - DE LA CRUZ,7416 N RIDGE BLVD,ES,42.01647588,-87.68440568
POINT (-87.7425388994401 41.88044718811725),400123,YCCS - SCHOLASTIC ACHIEVEMENT,4651 W MADISON ST,HS,41.88044719,-87.7425389
POINT (-87.62533077010677 41.84133116785302),400124,YCCS - MCKINLEY,2920 S WABASH AVE,HS,41.84133117,-87.62533077
POINT (-87.72713735988857 41.9381866032588),400125,YCCS - ASPIRA PANTOJA,3121 N PULASKI RD,HS,41.9381866,-87.72713736
POINT (-87.70685988381362 41.901572407492424),400126,YCCS - ASSOCIATION HOUSE,1116 N KEDZIE AVE,HS,41.90157241,-87.70685988
POINT (-87.72366217142837 41.864943352706916),400128,YCCS - CCA ACADEMY,1231 S PULASKI RD,HS,41.86494335,-87.72366217
POINT (-87.61584209880382 41.77416954865854),400129,YCCS - PROGRESSIVE LEADERSHIP,6620 S DR MARTIN LUTHER KING JR DR,HS,41.77416955,-87.6158421
POINT (-87.64173118628385 41.751377112625455),400130,YCCS - YOUTH DEVELOPMENT,7836 S UNION AVE,HS,41.75137711,-87.64173119
POINT (-87.69600602219901 41.90284969807005),400131,YCCS - CAMPOS,2739 W DIVISION ST,HS,41.9028497,-87.69600602
POINT (-87.6277341458495 41.88304717239688),400133,YCCS - INNOVATIONS,17 N. STATE ST.,HS,41.88304717,-87.62773415
POINT (-87.69543001380083 41.854664656300386),400135,YCCS - LATINO YOUTH,2001 S CALIFORNIA AVE,HS,41.85466466,-87.69543001
POINT (-87.59233320248318 41.71292210067985),400136,YCCS - OLIVE HARVEY,10001 S WOODLAWN AVE,HS,41.7129221,-87.5923332
POINT (-87.59933993995385 41.80969549635994),400137,LITTLE BLACK PEARL HS,1060 E 47TH ST,HS,41.8096955,-87.59933994
POINT (-87.57849166953392 41.746286570670634),400139,YCCS - SULLIVAN,8164 S SOUTH CHICAGO AVE,HS,41.74628657,-87.57849167
POINT (-87.65923928942215 41.96529481710454),400141,YCCS - TRUMAN,1145 W WILSON AVE,HS,41.96529482,-87.65923929
POINT (-87.70205280025758 41.89080312177814),400143,YCCS - WEST TOWN,500 N SACRAMENTO BLVD,HS,41.89080312,-87.7020528
POINT (-87.74881028902192 41.90224003228655),400144,YCCS - WEST,4909 W DIVISION ST,HS,41.90224003,-87.74881029
POINT (-87.6448879754731 41.857207856772895),400145,YCCS - YOUTH CONNECTION,1814 S UNION AVE,HS,41.857208,-87.644888
POINT (-87.74661383937638 41.89181614277191),400146,KIPP - ACADEMY,4818 W OHIO ST,ES,41.89181614,-87.74661384
POINT (-87.65372653786369 41.691969314452386),400147,CHICAGO EXCEL HS,1257 W 111TH ST,HS,41.69196931,-87.65372654
POINT (-87.68406493864745 41.84544601585059),400164,INSTITUTO - JUSTICE HS,2570 S BLUE ISLAND AVE,HS,41.84544602,-87.68406494
POINT (-87.71102498479794 41.80176224619306),400149,ACERO - SOTO HS,5025 S SAINT LOUIS AVE,HS,41.80176225,-87.71102498
POINT (-87.60697990878913 41.73013138496911),400150,YCCS - CHATHAM,9035 S LANGLEY AVE,HS,41.73013138,-87.60697991
POINT (-87.70141739135629 41.88731749110459),400151,LEARN - 7,3021 W CARROLL AVE,ES,41.88731749,-87.70141739
POINT (-87.69323838454847 41.813109445196304),400153,ACERO - BRIGHTON PARK,4420 S FAIRFIELD AVE,ES,41.81310945,-87.69323838
POINT (-87.60257331720773 41.706666859097496),400156,NOBLE - BUTLER HS,821 E 103RD ST,HS,41.70666686,-87.60257332
POINT (-87.5562014412362 41.734622371989694),400157,NOBLE - BAKER HS,2710 E 89TH ST,HS,41.73462237,-87.55620144
POINT (-87.75752152783717 41.92218115668891),400159,CHRISTOPHER HOUSE,5235 W BELDEN AVE,ES,41.92218116,-87.75752153
POINT (-87.61796787062896 41.67931844325373),400161,CHICAGO COLLEGIATE,11816 S INDIANA AVE,HS,41.67931844,-87.61796787
POINT (-87.741128626632 41.93898842845759),400162,INTRINSIC HS,4540 W BELMONT AVE,HS,41.93898843,-87.74112863
POINT (-87.63996733090822 41.7935562680176),400163,KIPP - BLOOM,5515 S LOWE AVE,ES,41.79355627,-87.63996733
POINT (-87.70272393872018 41.887319909492305),400165,LEARN - MIDDLE,3021 W CARROLL AVE,ES,41.88731991,-87.70272394
POINT (-87.68396339327373 41.79520095327123),400167,HORIZON - SOUTHWEST,5401 S. WESTERN,ES,41.79520095,-87.68396339
POINT (-87.75967517233124 41.917266409489365),400169,NOBLE - ITW SPEER HS,5321 W GRAND AVE,HS,41.91726641,-87.75967517
POINT (-87.64557693592364 41.906878795411906),400170,NOBLE - ACADEMY HS,1443 N OGDEN AVE,HS,41.9068788,-87.64557694
POINT (-87.70264475133735 41.808225785910054),400173,PATHWAYS - BRIGHTON PARK HS,3124 W. 47TH STREET,HS,41.80822579,-87.70264475
POINT (-87.55648708347292 41.75974864006715),400175,EXCEL SOUTH SHORE HS,7530 S SOUTH SHORE DR,HS,41.75974864,-87.55648708
POINT (-87.69095743847897 41.7649880298876),400176,EXCEL SOUTHWEST HS,7050 S WASHTENAW AVE,HS,41.76498803,-87.69095744
POINT (-87.57326751567166 41.73717393437062),609674,CHICAGO VOCATIONAL HS,2100 E 87TH ST,HS,41.73717393,-87.57326752
POINT (-87.61763743459431 41.84022557249074),609676,DUNBAR HS,3000 S KING DR,HS,41.84022557,-87.61763743
POINT (-87.62767532290775 41.873065923640695),609678,JONES HS,700 S STATE ST,HS,41.87306592,-87.62767532
POINT (-87.7610483156082 41.920059399822115),609679,PROSSER HS,2148 N LONG AVE,HS,41.9200594,-87.76104832
POINT (-87.63538476562529 41.90157516994749),609680,PAYTON HS,1034 N WELLS ST,HS,41.90157517,-87.63538477
POINT (-87.66227784586913 41.80288137577632),609682,RICHARDS HS,5009 S LAFLIN ST,HS,41.80288138,-87.66227785
POINT (-87.73523755587806 41.911673692889565),609691,NORTH-GRAND HS,4338 W WABANSIA AVE,HS,41.91167369,-87.73523756
POINT (-87.63541036887597 41.74578123102119),609692,SIMEON HS,8147 S VINCENNES AVE,HS,41.74578123,-87.63541037
POINT (-87.70733230829417 41.889977203933796),609693,WESTINGHOUSE HS,3223 W FRANKLIN BLVD,HS,41.8899772,-87.70733231
POINT (-87.75823761290182 41.77536594811712),609694,HANCOCK HS,5437 W 64TH PL,HS,41.77536595,-87.75823761
POINT (-87.6794842149401 41.97506725669093),609695,AMUNDSEN HS,5110 N DAMEN AVE,HS,41.97506726,-87.67948421
POINT (-87.72109744629029 41.7493756101307),609698,BOGAN HS,3939 W 79TH ST,HS,41.74937561,-87.72109745
POINT (-87.70870563224452 41.848559874659074),609704,FARRAGUT HS,2345 S CHRISTIANA AVE,HS,41.84855987,-87.70870563
POINT (-87.63757205079287 41.68995072532645),609705,FENGER HS,11220 S WALLACE ST,HS,41.68995073,-87.63757205
POINT (-87.75416654389804 41.93979676811428),609708,FOREMAN HS,3235 N LECLAIRE AVE,HS,41.93979677,-87.75416654
POINT (-87.68895394193714 41.791012839009404),609709,GAGE PARK HS,5630 S ROCKWELL ST,HS,41.79101284,-87.68895394
POINT (-87.62062343626336 41.71837234637158),609710,HARLAN HS,9652 S MICHIGAN AVE,HS,41.71837235,-87.62062344
POINT (-87.60172726635126 41.75374795595699),609712,HIRSCH HS,7740 S INGLESIDE AVE,HS,41.75374796,-87.60172727
POINT (-87.58661500993877 41.7822569274904),609713,HYDE PARK HS,6220 S STONY ISLAND AVE,HS,41.78225693,-87.58661501
POINT (-87.69463865990113 41.81872906388286),609715,KELLY HS,4136 S CALIFORNIA AVE,HS,41.81872906,-87.69463866
POINT (-87.73599882158199 41.92791840313646),609716,KELVYN PARK HS,4343 W WRIGHTWOOD AVE,HS,41.9279184,-87.73599882
POINT (-87.78083975510174 41.78996125295217),609718,KENNEDY HS,6325 W 56TH ST,HS,41.78996125,-87.78083976
POINT (-87.66895268957826 41.954764068043666),609719,LAKE VIEW HS,4015 N ASHLAND AVE,HS,41.95476407,-87.66895269
POINT (-87.69101262673284 41.94664457501988),609720,LANE TECH HS,2501 W ADDISON ST,HS,41.94664458,-87.69101263
POINT (-87.69989559043212 41.87093895657982),609722,MANLEY HS,2935 W POLK ST,HS,41.87093896,-87.69989559
POINT (-87.7080500697692 41.87844408594549),609723,MARSHALL HS,3250 W ADAMS ST,HS,41.87844409,-87.70805007
POINT (-87.70249639568888 41.98758868269134),609724,MATHER HS,5835 N LINCOLN AVE,HS,41.98758868,-87.7024964
POINT (-87.6656575452126 41.6920350096695),609725,MORGAN PARK HS,1744 W PRYOR AVE,HS,41.69203501,-87.66565755
POINT (-87.61635260656351 41.692762529209666),609726,BROOKS HS,250 E 111TH ST,HS,41.69276253,-87.61635261
POINT (-87.61979634571992 41.823879968186276),609727,PHILLIPS HS,244 E PERSHING RD,HS,41.82387997,-87.61979635
POINT (-87.71481861559175 41.96482788461816),609728,ROOSEVELT HS,3436 W WILSON AVE,HS,41.96482788,-87.71481862
POINT (-87.73561211047462 41.94636454357682),609729,SCHURZ HS,3601 N MILWAUKEE AVE,HS,41.94636454,-87.73561211
POINT (-87.667136189812 41.98902853931667),609730,SENN HS,5900 N GLENWOOD AVE,HS,41.98902854,-87.66713619
POINT (-87.78351523287553 41.93563358807806),609732,STEINMETZ HS,3030 N MOBILE AVE,HS,41.93563359,-87.78351523
POINT (-87.66919214533206 42.002687558850624),609733,SULLIVAN HS,6631 N BOSWORTH AVE,HS,42.00268756,-87.66919215
POINT (-87.79154724940713 41.982960987035106),609734,TAFT HS,6530 W BRYN MAWR AVE,HS,41.98296099,-87.79154725
POINT (-87.64296648353964 41.807510071768675),609735,TILDEN HS,4747 S UNION AVE,HS,41.80751007,-87.64296648
POINT (-87.71338625327847 41.97318504890794),609737,VON STEUBEN HS,5039 N KIMBALL AVE,HS,41.97318505,-87.71338625
POINT (-87.64600935975368 41.91826831157666),609738,LINCOLN PARK HS,2001 N ORCHARD ST,HS,41.91826831,-87.64600936
POINT (-87.53757030026813 41.68813693640528),609739,WASHINGTON HS,3535 E 114TH ST,HS,41.68813694,-87.5375703
POINT (-87.6674828689552 41.8989947078006),609740,WELLS HS,936 N ASHLAND AVE,HS,41.89899471,-87.66748287
POINT (-87.71801374322327 41.78052638742506),609741,HUBBARD HS,6200 S HAMLIN AVE,HS,41.78052639,-87.71801374
POINT (-87.7223862154349 41.982972522052755),609744,NORTHSIDE LEARNING HS,3730 W BRYN MAWR AVE,HS,41.98297252,-87.72238622
POINT (-87.6759467675532 41.75985242920463),609745,SOUTHSIDE HS,7342 S HOYNE AVE,HS,41.75985243,-87.67594677
POINT (-87.59042088944331 41.80377211930976),609746,KENWOOD HS,5015 S BLACKSTONE AVE,HS,41.80377212,-87.59042089
POINT (-87.67332725897171 41.807112132241585),609983,HEDGES,4747 S WINCHESTER AVE,ES,41.80711213,-87.67332726
POINT (-87.73580189344487 41.8786646476869),609985,HEFFERAN,4409 W WILCOX ST,ES,41.87866465,-87.73580189
POINT (-87.67188730719717 41.79059128727437),609986,HENDERSON,5650 S WOLCOTT AVE,ES,41.79059129,-87.67188731
POINT (-87.63366447727043 41.81578775166543),609987,HENDRICKS,4316 S PRINCETON AVE,ES,41.81578775,-87.63366448
POINT (-87.71563237169222 41.958988797844434),609988,HENRY,4250 N SAINT LOUIS AVE,ES,41.9589888,-87.71563237
POINT (-87.62834918762444 41.85974068123942),609990,SOUTH LOOP,1601 S DEARBORN ST,ES,41.85974068,-87.62834919
POINT (-87.71899385436596 41.862081297002476),609991,HERZL,3711 W DOUGLAS BLVD,ES,41.8620813,-87.71899385
POINT (-87.67218159329352 41.80977029709816),609993,LARA,4619 S WOLCOTT AVE,ES,41.8097703,-87.67218159
POINT (-87.7103616137838 41.97033523524266),609994,HIBBARD,3244 W AINSLIE ST,ES,41.97033524,-87.71036161
POINT (-87.77912305213577 41.98367169603206),609995,HITCH,5625 N MCVICKER AVE,ES,41.9836717,-87.77912305
POINT (-87.6537916683059 41.838027387840015),609996,HOLDEN,1104 W 31ST ST,ES,41.83802739,-87.65379167
POINT (-87.64979535547367 41.793787649440894),609997,HOLMES,955 W GARFIELD BLVD,ES,41.79378765,-87.64979536
POINT (-87.84104144264339 41.9737147776216),609874,DIRKSEN,8601 W FOSTER AVE,ES,41.97371478,-87.84104144
POINT (-87.70541291384018 41.92332271762725),609875,DARWIN,3116 W BELDEN AVE,ES,41.92332272,-87.70541291
POINT (-87.70020216025382 41.82185161457909),609876,DAVIS N,3014 W 39TH PL,ES,41.82185161,-87.70020216
POINT (-87.71735342362514 41.745077752136964),609879,DAWES,3810 W 81ST PL,ES,41.74507775,-87.71735342
POINT (-87.70461859321614 42.00928855783928),609880,DECATUR,7030 N SACRAMENTO AVE,ES,42.00928856,-87.70461859
POINT (-87.62334458925652 41.76249026426273),609883,DENEEN,7240 S WABASH AVE,ES,41.76249026,-87.62334459
POINT (-87.65097986936037 41.952809512018526),609850,GREELEY,832 W SHERIDAN RD,ES,41.95280951,-87.65097987
POINT (-87.69525936853255 41.866435252164464),609851,CHALMERS,2745 W ROOSEVELT RD,ES,41.86643525,-87.69525937
POINT (-87.68326359189945 41.97589430074945),609852,CHAPPELL,2135 W FOSTER AVE,ES,41.9758943,-87.68326359
POINT (-87.69456225148964 41.91799265365829),609853,CHASE,2021 N POINT ST,ES,41.91799265,-87.69456225
POINT (-87.68893676244511 41.896712688974574),609854,CHOPIN,2450 W RICE ST,ES,41.89671269,-87.68893676
POINT (-87.68560700306014 41.801658624976334),609855,CHRISTOPHER,5042 S ARTESIAN AVE,ES,41.80165862,-87.685607
POINT (-87.54461359768155 41.65455814916959),609856,CLAY,13231 S BURLEY AVE,ES,41.65455815,-87.5446136
POINT (-87.70644252545556 41.95204212165583),609857,CLEVELAND,3121 W BYRON ST,ES,41.95204212,-87.70644253
POINT (-87.69835995431187 41.99254136034414),609859,CLINTON,6110 N FAIRFIELD AVE,ES,41.99254136,-87.69835995
POINT (-87.6952610158726 41.84253334875318),609748,YORK HS,2700 S CALIFORNIA AVE,HS,41.84253335,-87.69526102
POINT (-87.70870780076544 41.981315282967195),609749,NORTHSIDE PREP HS,5501 N KEDZIE AVE,HS,41.98131528,-87.7087078
POINT (-87.66872222930535 41.86436548289566),609750,SIMPSON HS,1321 S PAULINA ST,HS,41.86436548,-87.66872223
POINT (-87.60387386163252 41.81367545291389),609751,KING HS,4445 S DREXEL BLVD,HS,41.81367545,-87.60387386
POINT (-87.71776967268035 41.69122074256613),609753,CHICAGO AGRICULTURE HS,3857 W 111TH ST,HS,41.69122074,-87.71776967
POINT (-87.61921554222698 41.830554977896526),609754,CHICAGO MILITARY HS,3519 S GILES AVE,HS,41.83055498,-87.61921554
POINT (-87.66423334339177 41.87860253314468),609755,YOUNG HS,211 S LAFLIN ST,HS,41.87860253,-87.66423334
POINT (-87.72204165467048 41.80306020749885),609756,CURIE HS,4959 S ARCHER AVE,HS,41.80306021,-87.72204165
POINT (-87.68690614584489 41.90262579240016),609759,CLEMENTE HS,1147 N WESTERN AVE,HS,41.90262579,-87.68690615
POINT (-87.59062038514644 41.65628995219592),609760,CARVER MILITARY HS,13100 S DOTY AVE,HS,41.65628995,-87.59062039
POINT (-87.60121587665117 41.706659617200714),609761,CORLISS HS,821 E 103RD ST,HS,41.70665962,-87.60121588
POINT (-87.6537492107625 41.70585893637169),609762,JULIAN HS,10330 S ELIZABETH ST,HS,41.70585894,-87.65374921
POINT (-87.66433930957464 41.85267013653496),609764,JUAREZ HS,1450 W CERMAK RD,HS,41.85267014,-87.66433931
POINT (-87.76466317335579 41.96036379668939),609766,VAUGHN HS,4355 N LINDER AVE,HS,41.9603638,-87.76466317
POINT (-87.62531481526543 41.84967541789528),609769,GRAHAM HS,2347 S WABASH AVE,HS,41.84967542,-87.62531482
POINT (-87.53297604180848 41.69873879985471),609772,ADDAMS,10810 S AVENUE H,ES,41.6987388,-87.53297604
POINT (-87.65622866743873 41.934126298321104),609773,TUBMAN,2851 N SEMINARY AVE,ES,41.9341263,-87.65622867
POINT (-87.6506531564894 41.83385390963618),609777,ARMOUR,950 W 33RD PL,ES,41.83385391,-87.65065316
POINT (-87.684441827352 42.0101499845778),609779,ARMSTRONG G,2110 W GREENLEAF AVE,ES,42.01014998,-87.68444183
POINT (-87.72174231677363 41.91604463388892),609780,MARINE LEADERSHIP AT AMES HS,1920 N HAMLIN AVE,HS,41.91604463,-87.72174232
POINT (-87.68104105312949 41.945062225133384),609782,AUDUBON,3500 N HOYNE AVE,ES,41.94506223,-87.68104105
POINT (-87.68041755456284 41.86783228544357),609783,JEFFERSON HS,1100 S HAMILTON AVE,HS,41.86783229,-87.68041755
POINT (-87.59165381084243 41.7482469947632),609786,AVALON PARK,8045 S KENWOOD AVE,ES,41.74824699,-87.59165381
POINT (-87.65807422405449 41.70513101209168),609788,BARNARD,10354 S CHARLES ST,ES,41.70513101,-87.65807422
POINT (-87.7393883510253 41.93251058361088),609789,BARRY,2828 N KILBOURN AVE,ES,41.93251058,-87.73938835
POINT (-87.6535324201886 41.774246450840245),609791,BASS,1140 W 66TH ST,ES,41.77424645,-87.65353242
POINT (-87.70215096178191 41.95821983971195),609792,BATEMAN,4220 N RICHMOND ST,ES,41.95821984,-87.70215096
POINT (-87.6474528424479 41.78494238059165),609793,NICHOLSON,6006 S PEORIA ST,ES,41.78494238,-87.64745284
POINT (-87.70930366576525 41.971506097334284),609794,EDISON,4929 N SAWYER AVE,ES,41.9715061,-87.70930367
POINT (-87.77041752737654 41.867812568331274),609795,CLARK ES,1045 S MONITOR AVE,ES,41.86781257,-87.77041753
POINT (-87.75756503917468 41.9723939455035),609796,BEAUBIEN,5025 N LARAMIE AVE,ES,41.97239395,-87.75756504
POINT (-87.70585481199942 41.88532104029221),609797,BEIDLER,3151 W WALNUT ST,ES,41.88532104,-87.70585481
POINT (-87.73401972966421 41.95893849446586),609798,BELDING,4257 N TRIPP AVE,ES,41.95893849,-87.73401973
POINT (-87.68601824432598 41.94952979906334),609799,BELL,3730 N OAKLEY AVE,ES,41.9495298,-87.68601824
